custid,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,Sample,lost
WXBP2F,28/08/2010,17/05/2011,14/06/2011,16,0,0,64.82,0.071428571,N,N,N,Tuesday,CHO,Validation,N
RJYYJ9,29/01/2011,19/08/2012,19/08/2012,45,11.11111111,0,60.94,0,N,N,N,Tuesday,RIC,Holdout,NA
MZ8L3N,09/02/2011,20/03/2011,03/11/2011,40,2.5,2.5,94.28,0.021929825,N,N,N,Thursday,RIC,Holdout,NA
UCVGQ9,07/03/2011,14/03/2011,11/09/2013,48,12.5,2.083333333,103.39,0.013157895,N,N,N,Monday,RIC,Estimation,N
4W84UJ,24/04/2009,24/04/2009,24/04/2009,0,0,0,15.64,0,N,N,N,Tuesday,CHO,Validation,Y
LMVN3V,18/05/2010,02/06/2010,08/03/2012,45,17.77777778,2.222222222,117.97,0.03255814,N,N,N,Thursday,CHO,Estimation,N
CZTUVU,13/09/2010,07/11/2011,28/09/2012,47,2.127659574,NA,37.24,0.036809816,N,N,N,Wednesday,CHO,Holdout,NA
3TJT3R,22/04/2011,28/04/2011,22/01/2012,16,0,0,165.95,0.007434944,N,N,N,Friday,RIC,Validation,N
Q7RV8W,20/08/2010,30/08/2010,30/08/2010,45,0,0,74.74,0,N,N,N,Friday,RIC,Validation,N
D5SNFS,04/01/2011,13/04/2011,06/10/2013,0,0,0,178.44,0.045203969,N,N,N,Wednesday,CHO,Estimation,Y
ANEWZC,08/03/2011,08/03/2011,08/03/2011,0,0,0,43.54,0,N,N,N,Tuesday,RIC,Validation,Y
ZKL5JF,20/01/2011,07/04/2011,12/04/2012,0,0,0,103.64,0.016172507,N,N,N,Thursday,RIC,Estimation,Y
EEKG4H,10/11/2009,10/11/2009,10/11/2009,0,0,0,28.63,0,N,N,N,Wednesday,CHO,Validation,Y
AZJTMQ,20/06/2009,13/07/2009,13/07/2009,0,0,0,21.97,0,N,N,N,Thursday,CHO,Validation,Y
HGBG96,26/01/2010,01/02/2010,22/06/2010,0,0,0,87.05,0.021276596,N,N,N,Tuesday,CHO,Estimation,Y
W97W6Q,26/02/2010,10/04/2010,29/04/2013,48,2.083333333,2.083333333,35.73,0.026008969,N,N,N,Tuesday,CHO,Estimation,N
LGA8JT,11/11/2009,12/04/2010,03/11/2013,50,10,4,33.38,0.005380477,N,N,N,Monday,CHO,Estimation,N
RZQEWF,19/10/2010,19/10/2010,19/10/2010,45,0,0,22.92,0,N,N,N,Wednesday,CHO,Validation,N
D4AEL5,04/03/2010,02/03/2011,27/02/2012,0,0,0,125.97,0.035911602,N,N,N,Monday,CHO,Holdout,NA
3PST7V,10/02/2011,10/02/2011,24/03/2011,0,0,0,37.01,0.047619048,N,N,N,Friday,CHO,Estimation,Y
T6ZAER,19/07/2009,22/10/2009,17/11/2009,0,0,0,61.85,0.269230769,N,N,N,Friday,CHO,Validation,Y
C55RAB,03/08/2010,09/08/2010,09/08/2010,0,0,0,101.3,0,N,N,N,Wednesday,CHO,Validation,Y
YRHUHV,15/04/2010,04/10/2010,18/11/2013,53,3.773584906,3.773584906,151.27,0.094653812,N,N,N,Tuesday,CHO,Holdout,NA
8SK2UB,23/01/2011,07/02/2011,21/03/2011,18,0,0,58.57,0.166666667,N,N,N,Monday,CHO,Holdout,NA
HZS3AJ,07/09/2010,26/10/2011,26/10/2011,0,0,0,55.9,0,N,N,N,Thursday,RIC,Holdout,NA
GXDXR6,21/06/2010,28/06/2010,27/06/2011,18,0,0,132.31,0.027472527,N,NA,NA,Monday,CHO,Estimation,N
LE9M9X,12/04/2011,17/04/2011,17/04/2011,16,0,0,91.9,0,N,N,N,Monday,CHO,Estimation,N
B2LW75,14/05/2009,12/03/2010,12/03/2010,16,0,0,39.16,0,N,N,N,Friday,CHO,Holdout,NA
BNE3YV,13/07/2010,28/03/2011,02/10/2013,23,95.65217391,0,68.82,0.032644178,N,N,N,Monday,RIC,Validation,N
LJJEMA,05/10/2010,26/10/2013,26/10/2013,34,14.70588235,0,44.05,0,N,Y,N,Tuesday,RIC,Holdout,NA
EBNK8A,27/08/2010,07/09/2010,07/09/2010,0,0,0,184.37,0,N,N,N,Wednesday,CHO,Estimation,Y
Z4YCW4,14/06/2010,28/04/2011,01/07/2013,41,43.90243902,0,27.11,0.065408805,Y,N,N,Thursday,CHO,Validation,N
FNWU29,26/08/2010,23/09/2010,25/11/2012,0,0,0,65.77,0.018891688,Y,N,N,Wednesday,DCX,Holdout,NA
ARR4H6,05/09/2010,06/09/2010,18/06/2012,42,26.19047619,2.380952381,44.97,0.006144393,N,N,N,Tuesday,RIC,Estimation,N
RACF5D,20/09/2010,14/10/2010,14/10/2010,0,0,0,69.69,0,N,N,N,Thursday,CHO,Estimation,Y
64QBT7,15/03/2011,28/03/2011,11/04/2011,33,75.75757576,0,49.76,0.214285714,N,N,N,Tuesday,CHO,Estimation,Y
GK3EST,16/06/2010,21/06/2010,21/06/2010,16,0,0,81.95,0,N,N,N,Wednesday,CHO,Estimation,N
W3TM2U,03/11/2010,03/11/2010,06/02/2012,0,0,NA,134.18,0.015217391,Y,N,N,Tuesday,RIC,Holdout,NA
MLX3EU,02/10/2008,02/10/2008,02/10/2008,14,0,0,63.18,0,N,N,N,Thursday,CHO,Estimation,N
BXWS2B,29/11/2009,22/07/2011,08/01/2014,45,77.77777778,20,42.62,0.064372919,Y,N,N,Monday,CHO,Holdout,NA
C8UJQ3,09/02/2010,30/03/2010,30/03/2010,16,0,0,23.79,0,N,N,N,Wednesday,CHO,Validation,N
PFCF8Q,12/07/2010,20/11/2012,20/11/2012,46,93.47826087,15.2173913,165.07,0,N,N,N,Tuesday,CHO,Validation,N
NJR788,18/08/2010,23/08/2010,23/08/2010,0,0,0,29.68,0,N,N,N,Tuesday,CHO,Validation,Y
J8SLPE,07/08/2009,11/09/2009,10/10/2013,45,4.444444444,2.222222222,39.41,0.006711409,N,N,N,Friday,CHO,Validation,N
GYH5AF,18/01/2011,28/06/2012,28/06/2012,47,2.127659574,0,73.07,0,N,N,N,Friday,CHO,Estimation,N
4QRWVB,17/08/2010,26/04/2011,23/10/2011,18,0,0,50.87,0.072222222,N,N,N,Wednesday,CHO,Validation,N
VMYYX9,23/01/2010,01/03/2010,11/10/2010,0,0,0,35.09,0.09375,N,N,N,Monday,CHO,Estimation,Y
CF5K35,03/02/2011,03/02/2011,27/03/2011,42,38.0952381,0,85.37,0.076923077,N,N,N,Monday,CHO,Validation,N
XQK2CK,08/12/2010,08/12/2010,08/12/2010,0,0,0,60.3,0,N,N,N,Thursday,CHO,Holdout,NA
FM7VFL,05/10/2009,16/10/2009,18/10/2011,44,25,11.36363636,117.32,0.032786885,Y,N,N,Friday,CHO,Estimation,N
7PEMUD,30/11/2009,30/11/2009,13/11/2012,47,0,0,105.45,0.003707136,N,N,N,Tuesday,CHO,Estimation,N
A3XBE,11/04/2011,11/04/2011,29/07/2012,45,6.666666667,2.222222222,165.23,0.010526316,Y,N,N,Monday,RIC,Validation,N
EQSD5E,07/10/2008,21/12/2009,21/12/2009,45,6.666666667,0,52.4,0,N,N,N,Tuesday,CHO,Validation,N
CT3NDS,23/03/2011,23/03/2011,03/01/2014,39,87.17948718,NA,30.48,0.015732547,N,N,N,Tuesday,RIC,Holdout,NA
C6HVXN,16/04/2010,20/04/2012,20/04/2012,16,0,0,33.57,0,N,N,N,Thursday,CHO,Estimation,N
ARP342,01/05/2010,09/05/2011,09/05/2011,0,0,0,83.04,0,N,N,N,Monday,CHO,Validation,Y
7PALQK,15/04/2010,14/04/2011,28/07/2011,0,0,0,54.82,0.076190476,N,N,N,Thursday,CHO,Holdout,NA
S5DZ4Y,12/07/2010,26/07/2010,14/11/2011,47,2.127659574,0,20.54,0.008403361,N,N,N,Monday,CHO,Estimation,N
Z7QFN7,30/04/2009,07/05/2009,07/05/2009,16,0,0,53.36,0,N,N,N,Friday,CHO,Estimation,N
TGYGPC,09/01/2011,01/02/2011,19/07/2012,42,16.66666667,2.380952381,27.74,0.005617978,N,N,N,Friday,RIC,Estimation,N
DVRYSK,06/04/2011,06/04/2011,06/04/2011,0,0,0,25,0,N,N,N,Thursday,CHO,Estimation,Y
HTJNCB,11/10/2010,11/10/2010,12/01/2011,39,35.8974359,0,130.51,0.021505376,N,N,N,Tuesday,CHO,Holdout,NA
3VCXN,10/04/2011,01/05/2011,13/05/2012,0,0,0,141.97,0.015873016,N,N,N,Monday,CHO,Estimation,Y
SGU3PB,31/03/2010,12/09/2010,12/10/2011,0,0,0,47.5,0.010126582,Y,N,N,Thursday,CHO,Holdout,NA
PXXTWN,03/05/2010,05/07/2010,11/11/2010,0,0,0,111.86,0.054263566,N,N,N,Tuesday,CHO,Holdout,NA
U9ZQQP,01/12/2010,12/06/2011,22/07/2013,46,19.56521739,NA,29.73,0.006485084,Y,N,N,Tuesday,DCX,Estimation,N
M87HQT,03/09/2010,24/09/2010,17/03/2011,0,0,0,109.16,0.022988506,N,N,N,Monday,CHO,Validation,Y
564EL5,19/06/2010,30/06/2010,30/06/2010,0,0,0,27.6,0,N,N,N,Thursday,CHO,Validation,Y
S7B2TP,06/09/2010,21/08/2011,21/08/2011,38,28.94736842,18.42105263,54.62,0,N,N,N,Friday,RIC,Estimation,N
PA38W9,21/09/2010,10/03/2011,10/03/2011,0,0,NA,37.2,0,N,N,N,Thursday,RIC,Estimation,Y
5DDKKP,13/11/2009,13/11/2009,13/11/2009,40,22.5,0,139.88,0,N,N,N,Friday,CHO,Holdout,NA
BUMVQN,15/02/2010,22/02/2010,22/02/2010,0,0,0,57.3,0,N,N,N,Monday,CHO,Estimation,Y
ZPR8KQ,16/02/2009,20/09/2010,02/12/2013,52,3.846153846,NA,59.35,0.020530368,Y,N,N,Monday,CHO,Validation,N
EG43ET,21/02/2011,28/02/2011,20/02/2012,34,79.41176471,17.64705882,44.25,0.014005602,N,N,N,Monday,CHO,Estimation,N
QKYBFL,23/08/2010,26/01/2011,31/03/2011,18,0,0,18.42,0.203125,N,N,N,Thursday,CHO,Holdout,NA
2NV3SY,25/01/2011,01/02/2011,01/02/2011,40,25,0,302.43,0,N,N,N,Thursday,RIC,Holdout,NA
YUA6VH,17/03/2011,05/05/2011,27/05/2011,47,2.127659574,0,50.79,0.272727273,N,N,N,Friday,RIC,Validation,N
ME8GM2,12/02/2010,04/10/2011,05/11/2013,37,5.405405405,5.405405405,57.22,0.00655308,Y,N,N,Wednesday,CHO,Validation,N
ELJFL7,08/02/2011,08/02/2011,19/07/2011,41,21.95121951,NA,72.66,0.01863354,N,N,N,Wednesday,CHO,Estimation,N
37TL6Y,10/03/2011,13/05/2011,20/05/2011,16,0,0,71.96,0.285714286,N,N,N,Friday,RIC,Holdout,NA
VSDFDY,29/10/2009,29/10/2009,22/11/2009,16,0,0,37.81,0.083333333,N,N,N,Friday,CHO,Estimation,N
XWM9F2,06/02/2011,02/07/2012,02/07/2012,42,23.80952381,0,16.14,0,N,N,N,Monday,RIC,Estimation,N
248PRB,27/06/2010,31/08/2010,06/11/2013,45,22.22222222,8.888888889,104.22,0.012897678,N,N,N,Wednesday,DCX,Estimation,N
EDHT4T,01/03/2011,13/03/2011,11/04/2011,42,23.80952381,0,86.73,0.103448276,N,N,N,Monday,CHO,Validation,N
2K94VS,25/08/2010,25/08/2010,25/08/2010,44,29.54545455,0,30.57,0,N,N,N,Friday,CHO,Holdout,NA
PBCL4J,14/07/2009,14/07/2009,14/07/2009,0,0,0,23.65,0,N,N,N,Tuesday,CHO,Estimation,Y
E3JPX3,12/09/2010,10/02/2011,17/02/2011,0,0,0,120.14,0.714285714,N,N,N,Thursday,CHO,Validation,Y
5CLFNM,09/12/2010,22/12/2010,15/12/2013,46,6.52173913,NA,70.32,0.019283747,N,N,N,Monday,CHO,Estimation,N
S8J2KD,28/09/2010,19/10/2010,19/10/2010,0,0,0,57.76,0,N,N,N,Wednesday,CHO,Validation,Y
SJKEYZ,27/08/2010,10/02/2011,31/07/2012,47,17.0212766,6.382978723,55.18,0.020484171,N,N,N,Wednesday,RIC,Holdout,NA
PCM3GS,06/10/2010,13/10/2010,11/12/2013,48,4.166666667,0,96.37,0.007792208,Y,N,N,Monday,CHO,Validation,N
4YUT8B,23/02/2011,24/02/2011,24/02/2011,0,0,0,55.68,0,N,N,N,Friday,RIC,Validation,Y
WYPLUJ,06/12/2009,06/12/2009,06/12/2009,16,0,0,20.2,0,N,N,N,Monday,CHO,Holdout,NA
6FR5QW,26/08/2009,26/08/2009,26/08/2009,0,0,0,29,0,N,N,N,Thursday,CHO,Estimation,Y
ETU955,02/03/2011,10/01/2014,19/01/2014,11,27.27272727,18.18181818,38.46,0.222222222,Y,Y,Y,Monday,RIC,Estimation,N
3WEGJ4,04/12/2008,19/01/2010,15/01/2014,22,4.545454545,4.545454545,36.48,0.009608785,N,N,N,Monday,CHO,Validation,N
HFLKGD,09/02/2010,12/03/2010,03/12/2010,18,0,0,51.3,0.045112782,N,N,N,Friday,CHO,Estimation,N
CXU7AW,07/03/2011,08/03/2011,10/04/2011,0,0,0,171.7,0.060606061,N,N,N,Tuesday,RIC,Estimation,Y
Y4JALT,13/02/2011,04/08/2011,14/11/2011,34,64.70588235,NA,93.96,0.019607843,N,N,N,Friday,RIC,Validation,N
6ZHF73,07/09/2010,25/01/2011,28/05/2013,0,0,0,67.95,0.018735363,N,N,N,Wednesday,CHO,Holdout,NA
UTLGDS,29/01/2010,22/10/2010,10/10/2013,47,2.127659574,0,110.02,0.04704797,N,N,N,Tuesday,CHO,Validation,N
F3ANT8,18/02/2011,12/05/2011,13/01/2012,47,0,0,37.35,0.016260163,N,N,N,Thursday,RIC,Validation,N
UH5A8N,10/12/2009,10/12/2009,05/02/2010,0,0,0,21.98,0.052631579,N,N,N,Friday,CHO,Estimation,Y
72EG38,02/05/2010,07/07/2011,27/07/2011,0,0,NA,147.35,0.45,N,N,N,Friday,CHO,Holdout,NA
DEHQEB,13/01/2011,28/09/2011,06/02/2012,0,0,0,99.47,0.022900763,N,N,N,Wednesday,CHO,Estimation,Y
HU4SHX,09/11/2009,19/08/2010,17/11/2011,0,0,0,75.83,0.041758242,N,N,N,Friday,CHO,Validation,Y
ZGNKU4,09/08/2010,06/12/2010,17/10/2011,32,87.5,NA,27.77,0.025396825,N,N,N,Monday,RIC,Validation,N
9B2NQX,28/09/2010,29/09/2010,29/09/2010,0,0,NA,83.85,0,N,N,N,Thursday,CHO,Estimation,Y
HSZGYK,21/01/2010,01/03/2010,03/05/2010,41,56.09756098,0,13.73,0.111111111,N,N,N,Monday,CHO,Validation,N
FVHPYJ,15/11/2009,29/03/2010,29/03/2010,2,50,0,31.04,0,N,N,N,Monday,CHO,Estimation,Y
SKUYV,22/04/2011,22/04/2011,19/01/2014,67,25.37313433,8.955223881,85.66,0.11665005,Y,Y,N,Monday,RIC,Estimation,N
FCX4A7,29/01/2011,13/02/2011,16/01/2014,39,87.17948718,12.82051282,101.64,0.005617978,N,N,N,Monday,RIC,Holdout,NA
2CQ42Z,30/08/2010,17/06/2013,07/07/2013,47,0,0,44.94,0.2,N,N,N,Wednesday,CHO,Estimation,N
9HRV46,18/01/2011,30/06/2013,30/06/2013,44,4.545454545,0,50.94,0,N,N,N,Monday,CHO,Validation,N
TNDHYE,22/03/2011,05/04/2011,03/05/2011,46,4.347826087,4.347826087,56.53,0.142857143,Y,N,N,Wednesday,DCX,Estimation,N
P4SHNX,27/03/2011,06/10/2013,06/10/2013,34,23.52941176,8.823529412,41,0,N,N,N,Thursday,RIC,Estimation,N
XFM2UU,05/05/2010,03/12/2010,03/12/2010,0,0,0,129.76,0,N,N,N,Friday,CHO,Holdout,NA
FYKE6T,09/11/2010,11/01/2011,04/03/2013,45,4.444444444,0,46.46,0.039591315,N,N,N,Tuesday,RIC,Estimation,N
9HNPDF,10/11/2009,17/11/2009,14/12/2009,16,0,0,49.8,0.111111111,N,N,N,Friday,CHO,Holdout,NA
3PMDNS,26/04/2010,23/11/2010,23/11/2010,0,0,0,28.37,0,N,N,N,Wednesday,CHO,Estimation,Y
QDTHZ3,27/08/2009,27/08/2009,27/08/2009,0,0,0,27.57,0,N,N,N,Tuesday,CHO,Estimation,Y
85JTA,22/04/2011,13/06/2011,20/05/2012,45,2.222222222,0,63.28,0.00877193,N,N,N,Monday,CHO,Estimation,N
YACQB7,10/05/2011,15/05/2011,04/06/2013,1,0,NA,87.01,0.083888149,N,N,N,Monday,CHO,Validation,Y
UA88SV,02/07/2010,04/07/2011,01/09/2013,45,11.11111111,0,55.71,0.007594937,N,N,N,Thursday,CHO,Validation,N
M43V97,24/01/2011,24/01/2011,24/01/2011,0,0,0,30.63,0,N,N,N,Tuesday,CHO,Validation,Y
BRZQNB,09/07/2010,12/04/2011,06/09/2013,38,28.94736842,0,28.7,0.089977221,Y,N,N,Wednesday,DCX,Holdout,NA
6GK8ZP,30/05/2010,30/05/2010,30/05/2010,0,0,NA,26.25,0,N,N,N,Monday,CHO,Estimation,Y
AXS66R,16/11/2010,22/04/2011,19/01/2014,72,30.55555556,0,80.06,0.175473579,N,Y,N,Monday,RIC,Validation,N
C9S2QZ,07/08/2008,24/03/2010,14/01/2014,51,19.60784314,13.7254902,53.37,0.122126437,N,Y,N,Wednesday,CHO,Validation,N
BTE8SJ,12/01/2011,21/05/2012,28/06/2012,43,6.976744186,6.976744186,52.63,0.078947368,Y,N,N,Tuesday,CHO,Validation,N
6C69AH,15/04/2010,15/04/2010,15/04/2010,0,0,NA,142.5,0,N,N,N,Friday,CHO,Estimation,Y
MFGEYU,07/03/2011,07/03/2011,17/05/2011,0,0,0,64.77,0.028169014,N,N,N,Thursday,RIC,Holdout,NA
SBJSTR,11/05/2011,11/06/2011,11/06/2011,0,0,0,53.95,0,N,N,N,Tuesday,CHO,Estimation,Y
4P69JL,10/02/2010,09/01/2011,07/10/2012,0,0,0,70.83,0.018838305,N,N,N,Monday,CHO,Estimation,Y
Y3Q9RE,20/10/2010,07/11/2010,07/11/2010,0,0,0,49.76,0,N,N,N,Friday,CHO,Holdout,NA
SH97N,22/03/2011,02/05/2011,13/06/2011,41,21.95121951,0,71.57,0.119047619,N,N,N,Monday,RIC,Validation,Y
F8CALQ,04/10/2010,02/03/2011,02/03/2011,40,5,0,48.29,0,N,N,N,Thursday,CHO,Estimation,N
AZ48MV,09/03/2011,07/04/2011,05/08/2011,39,7.692307692,2.564102564,105.92,0.033333333,N,N,N,Friday,CHO,Estimation,N
VZSLYC,24/01/2011,07/04/2011,19/02/2013,0,0,0,180.43,0.043859649,Y,N,N,Friday,CHO,Validation,Y
9FT8PL,18/02/2011,27/03/2011,19/08/2013,0,0,0,151.63,0.057077626,Y,N,N,Friday,CHO,Estimation,Y
6B6RCS,03/05/2011,03/05/2011,03/05/2011,0,0,0,47.16,0,N,N,N,Wednesday,CHO,Estimation,Y
AL2LGA,12/10/2010,01/02/2012,01/02/2012,0,0,0,52.62,0,N,N,N,Wednesday,RIC,Holdout,NA
7VK6PX,27/09/2010,11/10/2010,11/10/2010,41,14.63414634,2.43902439,41.29,0,N,N,N,Wednesday,CHO,Estimation,N
FHKQJY,17/03/2010,17/03/2010,17/03/2010,28,21.42857143,0,30.09,0,N,N,N,Thursday,CHO,Validation,Y
2WCFBU,25/08/2010,25/10/2011,15/11/2011,27,62.96296296,0,72.78,0.19047619,N,N,N,Wednesday,CHO,Holdout,NA
BWVPGQ,20/09/2010,17/04/2011,17/04/2011,46,4.347826087,2.173913043,103.83,0,Y,N,N,Tuesday,CHO,Estimation,N
X3299E,12/08/2010,07/01/2011,05/11/2013,48,10.41666667,8.333333333,132.43,0.052274927,Y,N,N,Tuesday,CHO,Holdout,NA
KJ8J2C,12/04/2011,12/04/2011,12/04/2011,0,0,0,63.9,0,N,N,N,Tuesday,CHO,Estimation,Y
BJAPV3,24/01/2011,20/03/2011,26/09/2013,0,0,0,53.85,0.060803474,Y,N,N,Friday,CHO,Estimation,Y
VJYRQ8,26/06/2009,21/01/2010,20/07/2010,0,0,0,48.81,0.244444444,N,N,N,Thursday,CHO,Validation,Y
3ETY2H,06/03/2011,10/03/2011,10/03/2011,0,0,0,67.94,0,N,N,N,Thursday,RIC,Validation,Y
BSC6KU,17/12/2009,16/05/2011,03/09/2012,45,0,0,71.56,0.004201681,N,N,N,Tuesday,CHO,Validation,N
ABHHAT,17/11/2010,17/11/2010,17/11/2010,0,0,0,49.83,0,N,N,N,Friday,CHO,Holdout,NA
RH5VGB,21/10/2010,25/03/2011,30/03/2012,18,0,0,40.97,0.016172507,N,N,N,Friday,RIC,Estimation,N
ER99UJ,02/09/2010,07/11/2010,21/10/2013,53,3.773584906,1.886792453,85.39,0.014828545,N,N,N,Monday,CHO,Estimation,N
86SLAH,27/08/2010,15/11/2011,15/11/2011,38,39.47368421,15.78947368,52.15,0,N,N,N,Thursday,RIC,Estimation,N
TJJPG,24/04/2011,04/05/2011,26/06/2013,31,100,19.35483871,103.97,0.047193878,Y,N,N,Thursday,CHO,Estimation,N
GCXDYV,23/01/2011,29/03/2011,16/05/2011,0,0,0,35.82,0.333333333,N,N,N,Tuesday,RIC,Validation,Y
8REF6A,02/09/2010,15/09/2010,13/10/2010,0,0,0,33.81,0.178571429,N,N,N,Thursday,RIC,Holdout,NA
JD489B,25/01/2011,01/02/2011,01/02/2011,36,58.33333333,0,30.36,0,N,N,N,Wednesday,RIC,Validation,N
Y6C6NW,18/09/2010,20/09/2010,24/08/2012,32,93.75,0,74.45,0.009943182,N,N,N,Monday,CHO,Estimation,N
UDKBWA,06/03/2011,06/04/2011,19/01/2014,60,30,8.333333333,147.77,0.122669284,N,N,Y,Friday,RIC,Validation,N
Z3M84Z,21/07/2008,19/08/2008,07/04/2009,0,0,0,16.09,0.034632035,N,N,N,Tuesday,CHO,Validation,Y
JJH6BE,24/11/2009,22/10/2010,13/01/2014,13,100,NA,74.59,0.039864292,Y,Y,N,Friday,CHO,Validation,Y
FEUEP6,22/08/2010,22/08/2010,17/06/2013,47,4.255319149,4.255319149,48.01,0.006796117,N,N,N,Monday,CHO,Validation,N
CGUZKY,01/09/2010,01/05/2011,17/06/2013,48,2.083333333,0,228.24,0.075835476,N,N,N,Monday,CHO,Holdout,NA
S6MWEQ,23/03/2010,27/04/2010,06/11/2013,48,16.66666667,10.41666667,49.81,0.010861133,N,N,N,Friday,CHO,Validation,N
646VZ8,24/02/2011,24/04/2011,30/04/2011,16,0,NA,79.25,0.333333333,N,N,N,Monday,CHO,Validation,N
BCERB3,27/12/2009,05/03/2010,13/07/2011,45,8.888888889,2.222222222,50.49,0.074747475,N,N,N,Friday,CHO,Validation,N
3EEP8A,03/02/2011,10/02/2011,22/05/2011,16,0,0,51.31,0.01980198,N,N,N,Wednesday,RIC,Holdout,NA
3F2G9G,14/02/2011,14/02/2011,14/02/2011,45,0,0,41.81,0,N,N,N,Monday,CHO,Estimation,N
2Z2YX3,27/10/2010,15/11/2010,16/01/2014,47,31.91489362,4.255319149,34.51,0.008635579,N,N,N,Wednesday,RIC,Estimation,N
SHVHNF,09/09/2009,18/03/2010,25/10/2012,46,13.04347826,NA,48.65,0.022058824,N,N,N,Friday,CHO,Validation,N
ESAZ2K,06/03/2011,29/04/2011,08/09/2012,0,0,0,59.7,0.108433735,Y,N,N,Monday,RIC,Validation,Y
